issueUID,projectName,raw images
DzSHqdPB76-17:17~1,1,"20191031_130519_R,20191031_130520_R,20191031_130521_R"
DzSHqdPB76-26:23~1,1,"20191031_130827_R,20191031_130828_R,20191031_130829_R"
DzSHqdPB76-22:22~1,1,"20191031_130546_R,20191031_130547_R,20191031_130548_R"
DzSHqdPB76-23:21~1,1,"20191031_130551_R,20191031_130552_R,20191031_130553_R"
DzSHqdPB76-25:22~1,1,"20191031_130827_R,20191031_130828_R,20191031_130829_R"
DzSHqdPB76-20:19~1,1,"20191031_130551_R,20191031_130552_R,20191031_130553_R"
DzSHqdPB76-19:19~1,1,"20191031_130551_R,20191031_130552_R,20191031_130553_R"
DzSHqdPB76-22:20~1,1,"20191031_130557_R,20191031_130558_R,20191031_130559_R"
DzSHqdPB76-22:18~1,1,"20191031_130601_R,20191031_130602_R,20191031_130603_R"
DzSHqdPB76-25:16~1,1,"20191031_130807_R,20191031_130808_R,20191031_130809_R"
DzSHqdPB76-19:14~1,1,"20191031_130610_R,20191031_130611_R,20191031_130612_R"
DzSHqdPB76-23:14~1,1,"20191031_130610_R,20191031_130611_R,20191031_130612_R"
DzSHqdPB76-19:8~2,1,"20191031_130262_R,20191031_130263_R,20191031_130264_R"
DzSHqdPB76-21:9~1,1,"20191031_130262_R,20191031_130263_R,20191031_130264_R"
DzSHqdPB76-19:9~1,1,"20191031_130621_R,20191031_130622_R,20191031_130623_R"
DzSHqdPB76-20:9~1,1,"20191031_130621_R,20191031_130622_R,20191031_130623_R"
DzSHqdPB76-19:7~1,1,"20191031_130631_R,20191031_130632_R,20191031_130633_R"
DzSHqdPB76-20:7~1,1,"20191031_130631_R,20191031_130632_R,20191031_130633_R"
DzSHqdPB76-23:9~1,1,"20191031_130262_R,20191031_130263_R,20191031_130264_R"
DzSHqdPB76-22:8~1,1,"20191031_130631_R,20191031_130632_R,20191031_130633_R"
DzSHqdPB76-22:8~2,1,"20191031_130631_R,20191031_130632_R,20191031_130633_R"
DzSHqdPB76-23:8~1,1,"20191031_130743_R,20191031_130744_R,20191031_130745_R"
DzSHqdPB76-30:9~1,1,"20191031_131007_R,20191031_131008_R,20191031_131009_R"
DzSHqdPB76-21:7~1,1,"20191031_130631_R,20191031_130632_R,20191031_130633_R"
DzSHqdPB76-21:7~2,1,"20191031_130631_R,20191031_130632_R,20191031_130633_R"
DzSHqdPB76-25:8~1,1,"20191031_130743_R,20191031_130744_R,20191031_130745_R"
DzSHqdPB76-22:6~1,1,"20191031_130732_R,20191031_130733_R,20191031_130734_R"
DzSHqdPB76-22:7~1,1,"20191031_130738_R,20191031_130739_R,20191031_130740_R"
DzSHqdPB76-19:3~1,1,"20191031_130638_R,20191031_130639_R,20191031_130640_R"
DzSHqdPB76-20:4~1,1,"20191031_130638_R,20191031_130639_R,20191031_130640_R"
DzSHqdPB76-16:1~1,1,"20191031_130651_R,20191031_130652_R,20191031_130653_R"
DzSHqdPB76-17:1~1,1,"20191031_130651_R,20191031_130652_R,20191031_130653_R"
DzSHqdPB76-17:1~2,1,"20191031_130651_R,20191031_130652_R,20191031_130653_R"
DzSHqdPB76-21:2~1,1,"20191031_130651_R,20191031_130652_R,20191031_130653_R"
DzSHqdPB76-21:1~1,1,"20191031_130651_R,20191031_130652_R,20191031_130653_R"
DzSHqdPB76-21:1~2,1,"20191031_130651_R,20191031_130652_R,20191031_130653_R"
DzSHqdPB76-21:1~3,1,"20191031_130651_R,20191031_130652_R,20191031_130653_R"
DzSHqdPB76-21:2~2,1,"20191031_130651_R,20191031_130652_R,20191031_130653_R"
DzSHqdPB76-24:1~1,1,"20191031_130722_R,20191031_130723_R,20191031_130724_R"
DzSHqdPB76-24:2~1,1,"20191031_130722_R,20191031_130723_R,20191031_130724_R"
DzSHqdPB76-24:1~2,1,"20191031_130722_R,20191031_130723_R,20191031_130724_R"
DzSHqdPB76-24:1~3,1,"20191031_130722_R,20191031_130723_R,20191031_130724_R"
DzSHqdPB76-25:3~1,1,"20191031_130722_R,20191031_130723_R,20191031_130724_R"
DzSHqdPB76-24:2~2,1,"20191031_130722_R,20191031_130723_R,20191031_130724_R"
DzSHqdPB76-28:3~1,1,"20191031_130722_R,20191031_130723_R,20191031_130724_R"
DzSHqdPB76-26:3~1,1,"20191031_130722_R,20191031_130723_R,20191031_130724_R"
DzSHqdPB76-26:2~1,1,"20191031_130722_R,20191031_130723_R,20191031_130724_R"
DzSHqdPB76-28:3~2,1,"20191031_130722_R,20191031_130723_R,20191031_130724_R"
DzSHqdPB76-26:3~2,1,"20191031_130722_R,20191031_130723_R,20191031_130724_R"
DzSHqdPB76-30:4~1,1,"20191031_130725_R,20191031_130726_R,20191031_130727_R"
DzSHqdPB76-27:3~1,1,"20191031_130725_R,20191031_130726_R,20191031_130727_R"
DzSHqdPB76-29:4~1,1,"20191031_130725_R,20191031_130726_R,20191031_130727_R"
DzSHqdPB76-28:4~1,1,"20191031_130725_R,20191031_130726_R,20191031_130727_R"
DzSHqdPB76-27:3~2,1,"20191031_130725_R,20191031_130726_R,20191031_130727_R"
DzSHqdPB76-26:6~1,1,"20191031_130732_R,20191031_130733_R,20191031_130734_R"
DzSHqdPB76-26:5~1,1,"20191031_130732_R,20191031_130733_R,20191031_130734_R"
DzSHqdPB76-24:5~1,1,"20191031_130732_R,20191031_130733_R,20191031_130734_R"
DzSHqdPB76-21:4~1,1,"20191031_130642_R,20191031_130643_R,20191031_130644_R"
DzSHqdPB76-29:7~1,1,"20191031_131013_R,20191031_131014_R,20191031_131015_R"
DzSHqdPB76-22:9~1,1,"20191031_130262_R,20191031_130263_R,20191031_130264_R"
DzSHqdPB76-23:8~2,1,"20191031_130743_R,20191031_130744_R,20191031_130745_R"
DzSHqdPB76-26:9~1,1,"20191031_130743_R,20191031_130744_R,20191031_130745_R"
DzSHqdPB76-27:9~1,1,"20191031_130743_R,20191031_130744_R,20191031_130745_R"
DzSHqdPB76-22:9~2,1,"20191031_130262_R,20191031_130263_R,20191031_130264_R"
DzSHqdPB76-27:10~1,1,"20191031_130749_R,20191031_130750_R,20191031_130751_R"
DzSHqdPB76-37:13~1,1,"20191031_131144_R,20191031_131145_R,20191031_131146_R"
DzSHqdPB76-28:10~1,1,"20191031_130743_R,20191031_130744_R,20191031_130745_R"
DzSHqdPB76-21:11~1,1,"20191031_130621_R,20191031_130622_R,20191031_130623_R"
DzSHqdPB76-23:12~1,1,"20191031_130753_R,20191031_130754_R,20191031_130755_R"
DzSHqdPB76-21:17~1,1,"20191031_130601_R,20191031_130602_R,20191031_130603_R"
DzSHqdPB76-23:23~1,1,"20191031_130546_R,20191031_130547_R,20191031_130548_R"
DzSHqdPB76-22:20~2,1,"20191031_130557_R,20191031_130558_R,20191031_130559_R"
DzSHqdPB76-25:19~1,1,"20191031_130807_R,20191031_130808_R,20191031_130809_R"
DzSHqdPB76-25:20~1,1,"20191031_130821_R,20191031_130822_R,20191031_130823_R"
DzSHqdPB76-28:23~1,1,"20191031_130821_R,20191031_130822_R,20191031_130823_R"
DzSHqdPB76-24:21~1,1,"20191031_130551_R,20191031_130552_R,20191031_130553_R"
DzSHqdPB76-24:21~2,1,"20191031_130551_R,20191031_130552_R,20191031_130553_R"
DzSHqdPB76-24:21~3,1,"20191031_130551_R,20191031_130552_R,20191031_130553_R"
DzSHqdPB76-28:22~1,1,"20191031_130821_R,20191031_130822_R,20191031_130823_R"
DzSHqdPB76-28:23~2,1,"20191031_130821_R,20191031_130822_R,20191031_130823_R"
DzSHqdPB76-25:23~1,1,"20191031_130827_R,20191031_130828_R,20191031_130829_R"
DzSHqdPB76-25:24~1,1,"20191031_130833_R,20191031_130834_R,20191031_130835_R"
DzSHqdPB76-30:25~1,1,"20191031_130918_R,20191031_130919_R,20191031_130920_R"
DzSHqdPB76-25:24~2,1,"20191031_130833_R,20191031_130834_R,20191031_130835_R"
DzSHqdPB76-29:26~1,1,"20191031_130837_R,20191031_130838_R,20191031_130839_R"
DzSHqdPB76-27:25~1,1,"20191031_130837_R,20191031_130838_R,20191031_130839_R"
DzSHqdPB76-28:27~1,1,"20191031_130837_R,20191031_130838_R,20191031_130839_R"
DzSHqdPB76-30:27~1,1,"20191031_130837_R,20191031_130838_R,20191031_130839_R"
DzSHqdPB76-29:27~1,1,"20191031_130837_R,20191031_130838_R,20191031_130839_R"
DzSHqdPB76-29:27~2,1,"20191031_130837_R,20191031_130838_R,20191031_130839_R"
DzSHqdPB76-29:27~3,1,"20191031_130837_R,20191031_130838_R,20191031_130839_R"
DzSHqdPB76-34:31~1,1,"20191031_130905_R,20191031_130906_R,20191031_130907_R"
DzSHqdPB76-29:24~1,1,"20191031_130833_R,20191031_130834_R,20191031_130835_R"
DzSHqdPB76-30:24~1,1,"20191031_130918_R,20191031_130919_R,20191031_130920_R"
DzSHqdPB76-30:24~2,1,"20191031_130918_R,20191031_130919_R,20191031_130920_R"
DzSHqdPB76-30:24~3,1,"20191031_130918_R,20191031_130919_R,20191031_130920_R"
DzSHqdPB76-30:25~2,1,"20191031_130918_R,20191031_130919_R,20191031_130920_R"
DzSHqdPB76-31:27~1,1,"20191031_130918_R,20191031_130919_R,20191031_130920_R"
DzSHqdPB76-31:27~2,1,"20191031_130918_R,20191031_130919_R,20191031_130920_R"
DzSHqdPB76-31:27~3,1,"20191031_130918_R,20191031_130919_R,20191031_130920_R"
DzSHqdPB76-31:27~4,1,"20191031_130918_R,20191031_130919_R,20191031_130920_R"
DzSHqdPB76-32:26~1,1,"20191031_130924_R,20191031_130925_R,20191031_130926_R"
DzSHqdPB76-32:26~2,1,"20191031_130924_R,20191031_130925_R,20191031_130926_R"
DzSHqdPB76-35:24~1,1,"20191031_130924_R,20191031_130925_R,20191031_130926_R"
DzSHqdPB76-39:4~1,1,"20191031_131112_R,20191031_131113_R,20191031_131114_R"
DzSHqdPB76-32:1~1,1,"20191031_131040_R,20191031_131041_R,20191031_131042_R"
DzSHqdPB76-34:6~1,1,"20191031_131024_R,20191031_131025_R,20191031_131026_R"
DzSHqdPB76-33:8~1,1,"20191031_131013_R,20191031_131014_R,20191031_131015_R"
DzSHqdPB76-32:10~1,1,"20191031_131013_R,20191031_131014_R,20191031_131015_R"
DzSHqdPB76-33:10~1,1,"20191031_131013_R,20191031_131014_R,20191031_131015_R"
DzSHqdPB76-35:25~1,1,"20191031_130918_R,20191031_130919_R,20191031_130920_R"
DzSHqdPB76-29:22~1,1,"20191031_130930_R,20191031_130931_R,20191031_130932_R"
DzSHqdPB76-29:22~2,1,"20191031_130930_R,20191031_130931_R,20191031_130932_R"
